F, [2016-08-17T11:38:27.643194 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-08-17T11:38:27.643229 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-08-17T11:38:27.643258 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-08-17T11:38:27.643285 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-08-17T11:38:27.643312 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-08-17T11:38:27.643339 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-08-17T11:38:27.643366 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-08-17T11:38:27.643402 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-08-17T11:38:27.643429 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-08-17T11:38:27.643456 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] /home/mybimba/.rvm/rubies/ruby-2.3.1/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-08-17T11:38:27.643483 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] /home/mybimba/.rvm/rubies/ruby-2.3.1/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
F, [2016-08-17T11:38:27.643509 #11528] FATAL -- : [2868fb33-8135-4219-aac9-79c6d9a5f11a] /home/mybimba/.rvm/rubies/ruby-2.3.1/lib/ruby/2.3.0/webrick/server.rb:296:in `block in start_thread'
I, [2016-08-17T11:38:29.544402 #11528]  INFO -- : [20ab38b1-a752-42b9-b17e-6860c6b29902] Started GET "/" for 59.172.38.22 at 2016-08-17 11:38:29 +0800
F, [2016-08-17T11:38:29.544966 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902]   
F, [2016-08-17T11:38:29.545015 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902] ActionController::RoutingError (No route matches [GET] "/"):
F, [2016-08-17T11:38:29.545058 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902]   
F, [2016-08-17T11:38:29.545090 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902] actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-08-17T11:38:29.545120 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902] actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-08-17T11:38:29.545147 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902] railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-08-17T11:38:29.545175 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-08-17T11:38:29.545212 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-08-17T11:38:29.545251 #11528] FATAL -- : [20ab38b1-a752-42b9-b17e-6860c6b29902] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
